一,one,ichi|itsu,hito-tsu
二,two,ni|ji,futa-tsu
三,three,san,mit-tsu
四,four,shi,yot-tsu|yon
五,five,go,itsu-tsu
六,six,roku,mut-tsu
七,seven,shichi,nana-tsu
八,eight,hachi,yat-tsu
九,nine,ku|kyū,kokono-tsu
十,ten,jū,tō
百,hundred,hyaku,momo
千,thousand,sen,chi
上,top,jō,ue
下,below,ka|ge,shita
左,left,sa,hidari
右,right,u|yū,migi
中,inside|middle,chū,naka
大,large,dai,ō-kii
小,small,shō,chii-sai
月,month|moon,gatsu|getsu,tsuki
日,day|sun,nichi,hi
年,year,nen,toshi
早,early,sō,haya-i
木,tree,moku|boku,ki
林,woods,rin,hayashi
山,mountain,san,yama
川,river,sen,kawa
土,soil,do,tsuchi
空,sky,kū,sora
田,rice paddy,den,ta
天,heaven|sky,ten,ama
生,life,sei|shō,i-kiru|u-mu|nama
花,flower,ka,hana
草,grass,sō,kusa
虫,insect,chū,mushi
犬,dog,ken,inu
人,person,jin|nin,hito
名,name,mei|myō,na
女,female,jo|nyo,on'na
男,male,dan|nan,otoko
子,child,shi|su,ko
目,eye,moku,me
耳,ear,ji|ni,mimi
口,mouth,kō,kuchi
手,hand,shu,te
足,foot|leg,soku,ashi
見,see,ken,mi-ru
音,sound,on,ne|oto
力,power,riki|ryoku,chikara
気,spirit,ki|ke,
円,circle|yen,en,maru
入,enter,nyū,hai-ru|i-ru
出,exit,shutsu,de-ru
立,stand up,ritsu,ta-tsu
休,rest,kyū,yasu-mu
先,previous,sen,saki
夕,evening,seki,yū
本,book,hon,moto
文,writing,bun|mon,fumi
字,character,ji,azana
学,study,gaku,mana-bu
校,school,kō,
村,village,son,mura
町,town,chō,machi
森,forest,shin,mori
正,correct,sei,tada-shii
水,water,sui,mizu
火,fire,ka,hi
玉,gem,gyoku,tama
王,king,ō,
石,stone,seki,ishi
竹,bamboo,chiku,take
糸,thread,shi,ito
貝,shellfish,,kai
車,wheeled vehicle,sha,kuruma
金,gold,kin,kane
雨,rain,u,ame
赤,red,seki,aka
青,blue,sei,ao
白,white,haku,shiro
