久,long time,kyū,hisa
仏,Buddha,hutsu|butsu,hotoke
仮,sham,ka|ke,kari
件,affair,ken,
任,responsibility,nin,maka-seru
似,becoming,ji,ni-ru
余,too much,yo,ama-ru
価,value,ka,atai
保,preserve,ho,tamo-tsu
修,discipline,shū,osa-meru
俵,straw bag,hyō,tawara
個,individual,ko,
備,provide,bi,sona-eru
像,statue,zō,
再,again,sai|sa,futata-bi
刊,publish,kan,
判,judge,han,waka-ru
制,control,sei,
券,ticket,ken,
則,rule,soku,notto-ru
効,effect,kō,ki-ku
務,duty,mu,tsuto-meru
勢,power,sei,ikio-i
厚,thick,kō,atsu-i
句,phrase,ku,
可,possible,ka,
営,manage,ei,itona-mu
因,cause,in,yo-ru
団,group,dan|ton,
圧,pressure,atsu,
在,exist,zai,a-ru
均,level,kin,
基,foundation,ki,moto-duku
報,report,hō,muku-iru
境,boundary,kyō,sakai
墓,grave,bo,haka
増,increase,zō,ma-su|fu-eru
夢,dream,mu,yume
妻,wife,sai,tsuma
婦,lady,fu,
容,contain,yō,
寄,approach,ki,yo-ru
富,rich,fu,tomi
導,guide,dō,michibi-ku
居,reside,kyo,i-ru
属,belong,zoku,
布,linen,fu,nuno
師,expert,shi,
常,normal,jō,tsune
幹,tree-trunk,kan,miki
序,preface,jo,
弁,valve,ben,
張,stretch,chō,ha-ru
往,journey,ō,
復,repeating,fuku,
徳,virtue,toku,
志,intention,shi,kokorozashi
応,respond,ō,
快,cheerful,kai,kokoroyo-i
性,gender,sei|shō,saga
恩,grace,on,
情,feelings,jō,nasa-ke
態,condition,tai,
慣,accustomed,kan,na-reru
承,acquiesce,shō,uketamawa-ru
技,skill,gi,waza
招,beckon,shō,mane-ku
授,instruct,ju,sazu-keru
採,pick,sai,to-ru
接,contact,setsu,ses-suru|tsu-gu
提,present,tei,sa-geru
損,loss,son,soko-neru
支,branch,shi,sasa-eru
政,politics,sei,matsurigoto
故,circumstances,ko,yue
敵,enemy,teki,kataki
断,cut off,dan,ta-tsu|kotowa-ru
旧,old times,kyū,
易,easy,eki,yasa-shii
暴,outburst,bō,aba-ku
条,clause,jō,
枝,branch,shi,eda
査,investigate,sa,
格,status,kaku,
桜,cherry,ō,sakura
検,examine,ken,
構,construct,kō,kama-eru
武,military,bu|mu,
比,compare,hi,kura-beru
永,eternity,ei,naga-i
河,river,ga,kawa
液,fluid,eki,
混,mix,kon,ma-zaru
減,decrease,gen,he-ru
測,fathom,soku,haka-ru
準,standard,jun,
演,perform,en,
潔,undefiled,ketsu,isagiyo-i
災,disaster,sai,wazawa-i
燃,burn,nen,mo-eru
版,printing block,han,
犯,crime,han,oka-su
状,form,jō,
独,alone,doku,hito-ri
率,rate,ritsu|sotsu,hiki-iru
現,appear,gen,arawa-reru
留,detain,ryū ru,todo-maru
略,abbreviation,ryaku,
益,benefit,eki,
眼,eyeball,gan,me
破,rend,ha,yabu-ru
確,certain,kaku,tashi-ka
示,indicate,shi,shime-su
祖,ancestor,so,
禁,prohibition,kin,
移,shift,i,utsu-ru
程,extent,tei,hodo
税,tax,zei,
築,fabricate,chiku,kizu-ku
精,refined,sei,
素,elementary,su|so,moto
経,manage,kei|kyō,he-ru
統,unite,tō,su-beru
絶,discontinue,zetsu,ta-tsu
綿,cotton,men,wata
総,whole,sō,
編,compile,hen,a-mu
績,exploits,seki,
織,weave,shiki,o-ru
罪,guilt,zai,tsumi
群,flock,gun,mu-reru
義,righteousness,gi,
耕,till,kō,tagaya-su
職,employment,shoku,
肥,fertilizer,hi,ko-yasu
能,ability,nō,
興,entertain,kyō,oko-su
舌,tongue,zetsu,shita
舎,cottage,sha,
術,art,jutsu,sube
衛,defense,ei,
製,manufacture,sei,
複,duplicate,fuku,
規,rule,ki,
解,untie,ge|kai,to-ku
設,establish,setsu,mouke-ru
許,permit,kyo,yuru-su
証,evidence,shō,
評,evaluate,hyō,
講,lecture,kō,
謝,apologize,sha,ayama-ru
識,discriminating,shiki,
護,safeguard,go,mamo-ru
豊,bountiful,hō,yuta-ka
財,wealth,zai,
貧,poor,hin,mazushi-i
責,blame,seki,se-meru
貸,lend,tai,ka-su
貿,trade,bō,
賀,congratulations,ga,
資,resources,shi,
賛,approve,san,
質,quality,shitsu,
輸,transport,yu,
述,mention,jutsu,no-beru
迷,astray,mei,mayo-u
退,retreat,tai,shirizo-ku
逆,inverted,gyaku,sakara-u
造,create,zō,tsuku-ru
過,go beyond,ka,ayama-chi
適,suitable,teki,
酸,acid,san,
鉱,mineral,kō,
銅,copper,dō,
銭,coin,sen,zeni
防,prevent,bō,fuse-gu
限,limit,gen,kagi-ru
険,precipitous,ken,kewa-shii
際,occasion,sai,kiwa
雑,miscellaneous,zatsu,
非,negative,hi,ara-zu
預,deposit,yo,azu-keru
領,territory,ryō,
額,amount,gaku,hitai
飼,domesticate,shi,ka-u
